"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3297","[@smoke] User can log in successfully","firefox","Mon Nov 03 22:28:13 IST 2025","failed","Mon Nov 03 22:28:17 IST 2025","","Login.spec.js","",""
"","3735","User can log in successfully","firefox","Mon Nov 03 22:17:45 IST 2025","passed","Mon Nov 03 22:17:49 IST 2025","","Login.spec.js","",""
